iter	Logloss
0	0.5895192276
1	0.5129045215
2	0.4538708822
3	0.4100439373
4	0.3781621596
5	0.353929577
6	0.334809833
7	0.3205791907
8	0.308858815
9	0.3004198252
10	0.2936679239
11	0.2878004278
12	0.2834084003
13	0.2801420898
14	0.2771811015
15	0.2748581038
16	0.2731427188
17	0.2716474454
18	0.2704235025
19	0.2693526105
20	0.2683141925
21	0.2674693799
22	0.2667774511
23	0.2661023472
24	0.2655793739
25	0.2651055429
26	0.2646282771
27	0.26424092
28	0.2637533373
29	0.2634403408
30	0.2631486166
31	0.2629125899
32	0.2626533809
33	0.2623706949
34	0.2620776282
35	0.2617179182
36	0.261503149
37	0.2612450284
38	0.2610710728
39	0.260885665
40	0.260742847
41	0.2606460042
42	0.2605211144
43	0.2603902106
44	0.260243985
45	0.2600688441
46	0.2598960649
47	0.2597292154
48	0.2595314803
49	0.2594030494
50	0.2592544786
51	0.259137379
52	0.2590091125
53	0.2589048197
54	0.2587865334
55	0.2585963306
56	0.2584753908
57	0.2583665976
58	0.258269768
59	0.2581426201
60	0.2580321279
61	0.2579323453
62	0.2578240558
63	0.2577460546
64	0.2576370403
65	0.2575510159
66	0.2574427423
67	0.2573489051
68	0.2572653996
69	0.2572087175
70	0.2571235376
71	0.2570067524
72	0.2569335838
73	0.2568676522
74	0.2568218999
75	0.2567424559
76	0.256639284
77	0.2565778036
78	0.2565050398
79	0.2564149157
80	0.2563157411
81	0.2562378774
82	0.2561806425
83	0.25610792
84	0.2560422862
85	0.2559795876
86	0.2559216475
87	0.2558443501
88	0.2557826766
89	0.2556965526
90	0.2556502556
91	0.2555941958
92	0.2555418363
93	0.2554764381
94	0.2553752344
95	0.2552859079
96	0.2552038318
97	0.2551313153
98	0.2550811931
99	0.2549964525
100	0.254961652
101	0.2549173678
102	0.2548741929
103	0.2547949309
104	0.2547195598
105	0.2546460104
106	0.2545891142
107	0.2545413527
108	0.2544730874
109	0.254410247
110	0.2543384343
111	0.2542567239
112	0.2541912088
113	0.254131466
114	0.2540697967
115	0.2539954406
116	0.2539217746
117	0.2538569032
118	0.2538045131
119	0.2537587523
120	0.2536950425
121	0.2536314002
122	0.2535579749
123	0.2534968631
124	0.2534314088
125	0.2533598564
126	0.253307173
127	0.2532104027
128	0.25312905
129	0.2530685154
130	0.2530125096
131	0.252940148
132	0.2528639983
133	0.2527954911
134	0.2527345436
135	0.2526773446
136	0.2526147743
137	0.2525655256
138	0.2524997102
139	0.2524382753
140	0.2523825746
141	0.2522962015
142	0.2522416659
143	0.2521918519
144	0.2521577087
145	0.2521014378
146	0.252056031
147	0.2519815282
148	0.251921285
149	0.251857819
150	0.2518054067
151	0.2517653679
152	0.2517078754
153	0.2516580752
154	0.2515913954
155	0.2515266383
156	0.251464189
157	0.2514151427
158	0.2513554698
159	0.2512884743
160	0.2512313327
161	0.2511410024
162	0.2510886667
163	0.2510191151
164	0.2509675699
165	0.2509181033
166	0.2508795403
167	0.2508448595
168	0.25080774
169	0.2507517437
170	0.2506688736
171	0.2506274277
172	0.2505695164
173	0.250508358
174	0.2504610831
175	0.2504000951
176	0.2503699041
177	0.2503168595
178	0.2502766638
179	0.2502253957
180	0.2501633529
181	0.2501111687
182	0.2500702385
183	0.2500111955
184	0.2499502376
185	0.2499143916
186	0.2498696462
187	0.2498368289
188	0.2497992969
189	0.2497315656
190	0.2496873324
191	0.2496158868
192	0.2495781783
193	0.2495172385
194	0.2494674273
195	0.2494039987
196	0.2493741267
197	0.2493140368
198	0.2492726572
199	0.2492282527
200	0.2491955357
201	0.2491421801
202	0.2490788558
203	0.2490327948
204	0.2489759131
205	0.2489103658
206	0.248851276
207	0.2488099514
208	0.2487552321
209	0.2487139356
210	0.248662573
211	0.2486341184
212	0.2485767789
213	0.2485345176
214	0.2484766834
215	0.2484168245
216	0.2483592586
217	0.248306528
218	0.2482777335
219	0.2482461987
220	0.2481891359
221	0.2481401118
222	0.2481015597
223	0.2480046088
224	0.2479828655
225	0.2479523197
226	0.2479176618
227	0.2478763633
228	0.247839383
229	0.2477959776
230	0.2477496685
231	0.2476912061
232	0.2476403614
233	0.2476043202
234	0.2475830519
235	0.2475405701
236	0.2474977397
237	0.2474508184
238	0.247407043
239	0.247349863
240	0.2472994548
241	0.2472450052
242	0.2471950662
243	0.2471579495
244	0.2471240693
245	0.2470814132
246	0.2470379341
247	0.2469974617
248	0.246952881
249	0.2468944895
250	0.2468392221
251	0.2468042787
252	0.2467610777
253	0.2467222864
254	0.246702063
255	0.2466767167
256	0.2466129579
257	0.2465556564
258	0.2465264529
259	0.246482205
260	0.2464387541
261	0.2463970859
262	0.2463574282
263	0.2463219073
264	0.2462880596
265	0.2462425099
266	0.2461968347
267	0.2461710604
268	0.2461217082
269	0.2460688894
270	0.246027603
271	0.2459823905
272	0.2459393551
273	0.2458918306
274	0.2458291464
275	0.245785274
276	0.2457490326
277	0.2457069151
278	0.245646167
279	0.2456053788
280	0.2455788907
281	0.2455338468
282	0.2454906324
283	0.2454564312
284	0.2454113583
285	0.2453716579
286	0.2453331203
287	0.2452774402
288	0.2452452433
289	0.2452143582
290	0.2451782684
291	0.2451433765
292	0.2451078054
293	0.2450755916
294	0.2450390326
295	0.2449908341
296	0.2449571754
297	0.2449107862
298	0.2448561291
299	0.2448328012
300	0.2448101884
301	0.2447620089
302	0.2447257555
303	0.2447001863
304	0.2446663649
305	0.2446137872
306	0.2445776637
307	0.2445269813
308	0.2444785394
309	0.2444490579
310	0.2444069047
311	0.2443717879
312	0.2443374942
313	0.244295805
314	0.2442654923
315	0.2442058739
316	0.2441690213
317	0.2441134928
318	0.2440865737
319	0.2440490521
320	0.2440062919
321	0.2439655747
322	0.2439345235
323	0.2439006663
324	0.2438513766
325	0.2438195153
326	0.2437842967
327	0.2437441642
328	0.2436820787
329	0.2436369854
330	0.243601995
331	0.2435703619
332	0.2435306377
333	0.2434937071
334	0.2434485663
335	0.2433902605
336	0.243354795
337	0.2433244956
338	0.2433015452
339	0.2432535715
340	0.2432299241
341	0.2431919408
342	0.2431647704
343	0.2431400502
344	0.2431122825
345	0.2430759666
346	0.2430320873
347	0.2429983244
348	0.2429728569
349	0.242937955
350	0.2429027815
351	0.2428684714
352	0.2428452028
353	0.2427968863
354	0.2427441247
355	0.2427129545
356	0.2426576344
357	0.2426294915
358	0.2425826213
359	0.2425422351
360	0.2425011879
361	0.2424759038
362	0.2424534114
363	0.2423975287
364	0.2423548783
365	0.2423153307
366	0.2422753209
367	0.2422436687
368	0.2422048543
369	0.2421642142
370	0.2421154616
371	0.2420751207
372	0.2420280734
373	0.2419772941
374	0.241953673
375	0.2419085094
376	0.2418701645
377	0.2418432582
378	0.2418142029
379	0.2417781358
380	0.2417372621
381	0.2416931704
382	0.241655502
383	0.2416120374
384	0.2415817342
385	0.2415424753
386	0.2415289202
387	0.2414865439
388	0.2414610315
389	0.2414332841
390	0.2413839009
391	0.2413375415
392	0.2412992675
393	0.2412563673
394	0.2412277274
395	0.2411925101
396	0.2411653281
397	0.2411262483
398	0.2411046176
399	0.2410395278
400	0.2410020526
401	0.240959508
402	0.2409180398
403	0.2408871347
404	0.2408527035
405	0.2408232414
406	0.2407712771
407	0.2407338149
408	0.240688487
409	0.2406338093
410	0.2405925002
411	0.240562658
412	0.2405151067
413	0.2404678391
414	0.2404232722
415	0.240394045
416	0.2403814832
417	0.2403294147
418	0.2402995722
419	0.2402573467
420	0.2402154782
421	0.2401698831
422	0.2401254742
423	0.2400822632
424	0.2400450196
425	0.2400116508
426	0.2399853164
427	0.2399412954
428	0.2399103899
429	0.2398793368
430	0.2398596167
431	0.2398260036
432	0.2397929665
433	0.2397564636
434	0.2397117156
435	0.2396573119
436	0.2396310268
437	0.2395882121
438	0.2395327212
439	0.2395009524
440	0.2394692562
441	0.2394340592
442	0.2394038566
