iter	Passed	Remaining
0	6	3283
1	12	3166
2	20	3478
3	26	3266
4	32	3260
5	38	3205
6	46	3289
7	52	3245
8	59	3249
9	66	3250
10	74	3325
11	80	3289
12	87	3264
13	92	3217
14	100	3248
15	107	3238
16	113	3221
17	119	3211
18	129	3268
19	135	3256
20	142	3258
21	149	3243
22	156	3249
23	164	3254
24	171	3261
25	179	3278
26	187	3278
27	193	3259
28	201	3280
29	210	3297
30	218	3305
31	224	3284
32	234	3314
33	239	3287
34	248	3305
35	254	3286
36	264	3315
37	270	3294
38	279	3301
39	285	3281
40	292	3277
41	302	3298
42	309	3292
43	315	3269
44	323	3268
45	329	3252
46	336	3246
47	343	3231
48	350	3222
49	355	3202
50	363	3196
51	368	3176
52	376	3174
53	382	3156
54	390	3163
55	397	3148
56	404	3143
57	411	3135
58	419	3134
59	425	3123
60	432	3115
61	439	3103
62	444	3082
63	451	3076
64	457	3064
65	466	3065
66	472	3053
67	475	3022
68	482	3011
69	488	3000
70	496	3000
71	503	2991
72	510	2986
73	516	2976
74	524	2974
75	530	2959
76	538	2956
77	543	2942
78	551	2938
79	557	2926
80	565	2922
81	571	2913
82	578	2905
83	583	2892
84	592	2891
85	597	2877
86	606	2878
87	612	2866
88	620	2865
89	627	2856
90	634	2853
91	641	2846
92	651	2849
93	657	2840
94	665	2835
95	671	2826
96	681	2829
97	688	2822
98	691	2800
99	697	2790
100	704	2782
101	711	2777
102	718	2769
103	725	2762
104	731	2750
105	739	2748
106	745	2739
107	752	2730
108	757	2718
109	766	2716
110	771	2703
111	777	2693
112	784	2686
113	790	2678
114	797	2668
115	804	2661
116	811	2658
117	820	2655
118	825	2643
119	832	2635
120	837	2623
121	845	2619
122	852	2612
123	859	2605
124	865	2596
125	872	2589
126	881	2589
127	889	2585
128	896	2578
129	903	2572
130	910	2563
131	917	2557
132	923	2547
133	930	2542
134	936	2533
135	944	2527
136	950	2519
137	957	2512
138	965	2506
139	974	2506
140	983	2503
141	991	2500
142	999	2494
143	1012	2504
144	1025	2511
145	1035	2511
146	1044	2509
147	1052	2504
148	1061	2499
149	1070	2496
150	1076	2488
151	1084	2482
152	1090	2473
153	1098	2468
154	1104	2458
155	1113	2455
156	1119	2445
157	1126	2439
158	1133	2429
159	1140	2423
160	1147	2415
161	1156	2412
162	1162	2404
163	1175	2408
164	1185	2406
165	1193	2401
166	1207	2408
167	1222	2415
168	1234	2417
169	1246	2418
170	1254	2413
171	1262	2407
172	1277	2415
173	1289	2415
174	1299	2414
175	1310	2412
176	1317	2403
177	1328	2403
178	1340	2403
179	1350	2400
180	1357	2392
181	1365	2385
182	1372	2377
183	1380	2371
184	1387	2362
185	1395	2356
186	1401	2346
187	1409	2339
188	1416	2330
189	1424	2323
190	1431	2316
191	1442	2314
192	1448	2304
193	1458	2300
194	1464	2290
195	1474	2286
196	1480	2277
197	1489	2272
198	1496	2263
199	1503	2255
200	1511	2248
201	1518	2240
202	1525	2232
203	1533	2225
204	1540	2216
205	1549	2210
206	1557	2205
207	1564	2196
208	1573	2190
209	1582	2185
210	1589	2177
211	1597	2169
212	1603	2160
213	1612	2155
214	1619	2146
215	1628	2140
216	1636	2134
217	1646	2130
218	1654	2122
219	1662	2115
220	1667	2105
221	1679	2103
222	1686	2095
223	1697	2091
224	1704	2083
225	1716	2080
226	1728	2079
227	1741	2077
228	1748	2068
229	1760	2066
230	1766	2057
231	1776	2051
232	1785	2046
233	1794	2040
234	1802	2032
235	1810	2025
236	1817	2016
237	1826	2010
238	1833	2001
239	1841	1995
240	1848	1986
241	1857	1980
242	1864	1972
243	1873	1965
244	1879	1956
245	1889	1951
246	1896	1942
247	1905	1936
248	1912	1928
249	1926	1926
250	1933	1918
251	1944	1913
252	1952	1905
253	1962	1900
254	1970	1892
255	1978	1885
256	1987	1878
257	1995	1871
258	2002	1863
259	2010	1856
260	2017	1847
261	2026	1841
262	2033	1832
263	2041	1825
264	2049	1817
265	2057	1810
266	2067	1804
267	2075	1796
268	2084	1790
269	2092	1782
270	2099	1774
271	2106	1766
272	2112	1756
273	2121	1749
274	2128	1741
275	2137	1734
276	2144	1726
277	2152	1719
278	2159	1710
279	2166	1702
280	2173	1693
281	2181	1686
282	2187	1677
283	2195	1669
284	2201	1660
285	2209	1652
286	2215	1643
287	2221	1635
288	2229	1627
289	2236	1619
290	2243	1611
291	2251	1603
292	2257	1595
293	2266	1588
294	2272	1579
295	2281	1572
296	2287	1563
297	2295	1556
298	2305	1549
299	2313	1542
300	2319	1533
301	2327	1526
302	2333	1517
303	2344	1511
304	2351	1503
305	2359	1495
306	2365	1487
307	2372	1478
308	2379	1470
309	2388	1463
310	2396	1456
311	2404	1448
312	2413	1441
313	2421	1434
314	2430	1427
315	2438	1419
316	2448	1413
317	2457	1406
318	2464	1398
319	2473	1391
320	2479	1382
321	2487	1375
322	2495	1367
323	2501	1358
324	2508	1350
325	2516	1343
326	2522	1334
327	2531	1327
328	2537	1318
329	2548	1312
330	2554	1304
331	2564	1297
332	2572	1290
333	2582	1283
334	2589	1275
335	2596	1267
336	2603	1259
337	2613	1252
338	2620	1244
339	2630	1237
340	2635	1229
341	2645	1221
342	2651	1213
343	2660	1206
344	2666	1197
345	2674	1190
346	2680	1182
347	2690	1175
348	2696	1166
349	2707	1160
350	2714	1152
351	2725	1145
352	2733	1138
353	2742	1130
354	2749	1122
355	2757	1115
356	2768	1109
357	2779	1102
358	2787	1094
359	2796	1087
360	2803	1079
361	2811	1071
362	2817	1063
363	2828	1056
364	2835	1048
365	2844	1041
366	2851	1033
367	2861	1026
368	2867	1017
369	2878	1011
370	2886	1003
371	2894	996
372	2905	989
373	2913	981
374	2921	973
375	2933	967
376	2942	960
377	2951	952
378	2961	945
379	2971	938
380	2978	930
381	2985	922
382	2992	914
383	2999	906
384	3006	898
385	3014	890
386	3022	882
387	3029	874
388	3040	867
389	3048	859
390	3055	851
391	3062	843
392	3072	836
393	3080	828
394	3087	820
395	3095	812
396	3102	805
397	3110	797
398	3119	789
399	3127	781
400	3133	773
401	3141	765
402	3148	757
403	3157	750
404	3163	741
405	3172	734
406	3178	726
407	3185	718
408	3191	710
409	3200	702
410	3207	694
411	3215	686
412	3223	678
413	3230	671
